scientificName,PopulationSize.range
Lybius chaplini,5200
Capito hypoleucus,1500-7000
Capito dayi,U
Ramphastos tucanus,NA
Galbula pastazae,2500-9999
Anthracoceros marchei,2500-9999
Ceratogymna elata,8000-9000
Bucorvus leadbeateri,NA
Brachypteracias leptosomus,7800-19600
Geobiastes squamiger,1500-7000
Uratelornis chimaera,9487-32687
Todiramphus winchelli,2500-9999
Todiramphus funebris,2500-9999
Todiramphus ruficollaris,270-470
Actenoides hombroni,2500-9999
Tanysiptera ellioti,250-999
Phaenicophaeus pyrrhocephalus,2500-9999
Centropus rectunguis,10000-19999
Centropus nigrorufus,2500-9999
Centropus chlororhynchos,2500-9999
Neomorphus radiolosus,600-1700
Eos histrio,5500-14000
Eos cyanogenia,2500-9999
Lorius domicella,1000-2499
Vini kuhlii,1500
Vini stepheni,480-1200
Charmosyna palmarum,1000-2499
Zanda baudinii,10000-15000
Zanda latirostris,NA
Cacatua moluccensis,6600-67000
Nestor meridionalis,2500-9999
Prioniturus platenae,1500-7000
Prosopeia splendens,4000
Psephotellus chrysopterygius,2500
Cyanoramphus unicolor,2000-3000
Eunymphicus cornutus,5300-6000
Agapornis nigrigenis,2500-9999
Anodorhynchus hyacinthinus,4300
Pyrrhura cruentata,2500-9999
Pyrrhura lepida,6700
Pyrrhura perlata,U
Pyrrhura viridicata,1900-3200
Pyrrhura albipectus,1500-7000
Bolborhynchus ferrugineifrons,1300-2700
Forpus xanthops,250-999
Brotogeris pyrrhoptera,NA
Touit melanonotus,2500-9999
Touit surdus,2500-9999
Touit stictopterus,600-1700
Pyrilia vulturina,U
Hapalopsittaca amazonina,2500-9999
Hapalopsittaca pyrrhops,2500-9999
Amazona collaria,6000-15000
Amazona tucumana,6000-15000
Amazona pretrei,NA
Amazona arausiaca,850-1000
Aerodramus elaphrus,1700-2000
Glaucis dohrnii,250-999
Lophornis gouldii,U
Eupherusa poliocerca,6000-15000
Phlogophilus hemileucurus,U
Heliodoxa gularis,U
Hylonympha macrocerca,3000-4000
Coeligena prunellei,2500-9999
Heliangelus regalis,2500-9999
Ramphomicron dorsale,U
Metallura baroni,600-1700
Metallura iracunda,NA
Loddigesia mirabilis,250-999
Chaetocercus bombus,2500-9999
Tauraco bannermani,1500-7000
Tauraco ruspolii,2500-9999
Tyto inexspectata,2500-9999
Tyto soumagnei,2500-9999
Phodilus prigoginei,2500-9999
Otus ireneae,2500-9999
Otus angelinae,1500-7000
Otus insularis,249-300
Otus pembaensis,3000
Bubo philippensis,2500-9999
Bubo blakistoni,1000-2499
Scotopelia ussheri,2500-9999
Glaucidium albertinum,2500-9999
Ninox natalis,1000
Nesasio solomonensis,2500-9999
Antrostomus noctitherus,930-1300
Caprimulgus prigoginei,2500-9999
Columba torringtoniae,2500-9999
Patagioenas oenops,2500-9999
Patagioenas subvinacea,U
Geophaps smithii,126000
Gallicolumba crinigera,1000-2499
Gallicolumba menagei,1-49
Alopecoenas stairi,2500-9999
Alopecoenas hoedtii,1500-7000
Phapitreron cinereiceps,250-999
Treron psittaceus,660-2000
Treron capellei,10000-19999
Treron pembaensis,2500-9999
Ptilinopus dohertyi,6000
Ramphiculus marchei,2500-9999
Ptilinopus roseicapilla,10000-19999
