assessmentId,internalTaxonId,scientificName,code,name,international,national,other,subsistence
93199076,22688511,Tyto glaucops,13,"Pets/display animals, horticulture",true,NA,NA,NA
93199287,22688514,Tyto capensis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93199574,22688522,Tyto longimembris,1,Food - human,NA,true,NA,true
93199574,22688522,Tyto longimembris,15,Sport hunting/specimen collecting,NA,true,NA,true
93199574,22688522,Tyto longimembris,3,Medicine - human & veterinary,NA,true,NA,true
93199574,22688522,Tyto longimembris,13,"Pets/display animals, horticulture",true,NA,NA,NA
93200776,22688559,Otus icterorhynchus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93201511,22688579,Otus spilocephalus,1,Food - human,NA,true,NA,true
93203300,22688631,Otus brucei,13,"Pets/display animals, horticulture",true,NA,NA,NA
93203659,22688637,Psiloscops flammeolus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93207555,22688747,Megascops kennicottii,13,"Pets/display animals, horticulture",true,NA,NA,NA
93208062,22688766,Megascops trichopsis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93208267,22688774,Megascops choliba,13,"Pets/display animals, horticulture",NA,true,NA,true
93208712,22688790,Megascops roboratus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93209320,22688820,Megascops ingens,13,"Pets/display animals, horticulture",true,NA,NA,NA
93211055,22688903,Megascops albogularis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93211525,22688934,Bubo bengalensis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93212047,22688944,Bubo capensis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93212537,22688976,Bubo sumatranus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93212982,22688986,Bubo lacteus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93213395,22688992,Bubo coromandus,3,Medicine - human & veterinary,NA,true,NA,true
93213395,22688992,Bubo coromandus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93214791,22689024,Ketupa ketupu,13,"Pets/display animals, horticulture",true,NA,NA,NA
93214791,22689024,Ketupa ketupu,1,Food - human,NA,true,NA,true
93216609,22689061,Strix seloputo,13,"Pets/display animals, horticulture",true,NA,NA,NA
93216851,22689066,Strix ocellata,13,"Pets/display animals, horticulture",true,NA,NA,NA
93217052,22689071,Strix leptogrammica,13,"Pets/display animals, horticulture",true,NA,NA,NA
93217844,22689094,Strix varia,13,"Pets/display animals, horticulture",true,NA,NA,NA
