scientificName,redlistCategory,actions,other_threats,smallpop
Erythropitta venusta,Vulnerable,NA,NA,yes
Pitta anerythra,Vulnerable,NA,NA,yes
Pseudocalyptomena graueri,Vulnerable,NA,NA,yes
Hemitriccus furcatus,Vulnerable,NA,NA,yes
Zimmerius cinereicapilla,Vulnerable,NA,NA,NA
Nesotriccus ridgwayi,Vulnerable,NA,yes,NA
Elaenia ridleyana,Vulnerable,NA,NA,yes
Anairetes alpinus,Endangered,NA,NA,yes
Pogonotriccus lanyoni,Endangered,NA,NA,yes
Phylloscartes roquettei,Endangered,NA,NA,NA
Onychorhynchus occidentalis,Vulnerable,NA,NA,yes
Lathrotriccus griseipectus,Vulnerable,NA,NA,yes
Aphanotriccus capitalis,Vulnerable,NA,NA,NA
Agriornis albicauda,Vulnerable,NA,yes,yes
Alectrurus risora,Vulnerable,NA,NA,NA
Attila torridus,Vulnerable,NA,NA,yes
Tyrannus cubensis,Endangered,NA,NA,yes
Lipaugus conditus,Vulnerable,NA,NA,yes
Doliornis remseni,Vulnerable,NA,NA,yes
Zaratornis stresemanni,Vulnerable,NA,NA,yes
Iodopleura pipra,Endangered,NA,NA,yes
Cotinga ridgwayi,Vulnerable,NA,NA,NA
Cephalopterus glabricollis,Endangered,NA,NA,NA
Cephalopterus penduliger,Vulnerable,NA,NA,NA
Procnias tricarunculatus,Vulnerable,NA,NA,NA
Procnias nudicollis,Vulnerable,NA,NA,NA
Lepidothrix iris,Vulnerable,NA,NA,NA
Lepidothrix vilasboasi,Vulnerable,NA,NA,NA
Chloropipo flavicapilla,Vulnerable,NA,NA,yes
Neopelma aurifrons,Vulnerable,NA,NA,NA
Piprites pileata,Vulnerable,NA,NA,yes
Xenornis setifrons,Vulnerable,NA,NA,yes
Myrmotherula surinamensis,Vulnerable,NA,NA,NA
Myrmotherula minor,Vulnerable,NA,NA,yes
Myrmotherula urosticta,Vulnerable,NA,NA,yes
Herpsilochmus parkeri,Endangered,NA,NA,yes
Herpsilochmus axillaris,Vulnerable,NA,NA,NA
Formicivora erythronotos,Endangered,NA,NA,NA
Euchrepomis sharpei,Endangered,NA,NA,NA
Cercomacra ferdinandi,Vulnerable,NA,NA,NA
Pyriglena atra,Endangered,NA,NA,yes
Rhopornis ardesiacus,Endangered,NA,NA,yes
Myrmoborus lugubris,Vulnerable,NA,NA,NA
Myrmoborus melanurus,Vulnerable,NA,NA,NA
Ampelornis griseiceps,Vulnerable,NA,NA,yes
Rhegmatorhina gymnops,Vulnerable,NA,NA,NA
Leptasthenura xenothorax,Endangered,NA,NA,yes
Asthenes perijana,Endangered,NA,NA,yes
Asthenes helleri,Vulnerable,NA,NA,NA
Synallaxis courseni,Vulnerable,NA,yes,NA
Synallaxis infuscata,Endangered,NA,NA,yes
Synallaxis fuscorufa,Vulnerable,NA,NA,NA
Synallaxis zimmeri,Endangered,NA,NA,yes
Cranioleuca curtata,Vulnerable,NA,NA,NA
Cranioleuca marcapatae,Vulnerable,NA,NA,NA
Cranioleuca muelleri,Endangered,NA,NA,NA
Thripophaga macroura,Vulnerable,NA,NA,yes
Cranioleuca berlepschi,Vulnerable,NA,NA,yes
Synallaxis hypochondriaca,Vulnerable,NA,NA,NA
Phacellodomus dorsalis,Vulnerable,NA,NA,NA
Premnoplex tatei,Endangered,NA,NA,NA
Syndactyla ruficollis,Vulnerable,NA,NA,NA
Xiphocolaptes falcirostris,Vulnerable,NA,NA,yes
Dendrocolaptes hoffmannsi,Vulnerable,NA,NA,NA
Grallaria excelsa,Vulnerable,NA,NA,yes
Grallaria kaestneri,Endangered,NA,NA,NA
Grallaria bangsi,Vulnerable,NA,NA,NA
Grallaria milleri,Vulnerable,NA,NA,yes
Scytalopus panamensis,Vulnerable,NA,NA,NA
Atrichornis rufescens,Endangered,NA,NA,NA
Atrichornis clamosus,Endangered,yes,yes,NA
Stipiturus mallee,Endangered,yes,NA,NA
Amytornis woodwardi,Vulnerable,NA,NA,NA
Amytornis dorotheae,Vulnerable,NA,NA,NA
Myzomela chermesina,Vulnerable,NA,NA,NA
Gymnomyza samoensis,Endangered,yes,NA,yes
Grantiella picta,Vulnerable,NA,NA,NA
Manorina melanotis,Endangered,yes,yes,NA
Pardalotus quadragintus,Endangered,yes,yes,NA
Dasyornis longirostris,Endangered,yes,NA,NA
Dasyornis brachypterus,Endangered,yes,yes,NA
Petroica traversi,Endangered,yes,yes,yes
Chloropsis flavipennis,Vulnerable,NA,NA,yes
Mohoua ochrocephala,Endangered,yes,NA,NA
Pachycephala rufogularis,Vulnerable,NA,yes,yes
Garrulus lidthi,Vulnerable,NA,yes,NA
Urocissa ornata,Vulnerable,NA,NA,NA
Urocissa whiteheadi,Endangered,NA,NA,NA
Zavattariornis stresemanni,Endangered,NA,yes,NA
Corvus leucognaphalus,Vulnerable,yes,yes,yes
Corvus hawaiiensis,Extinct in the Wild,yes,yes,NA
Paradisaea decora,Vulnerable,NA,NA,yes
Paradisornis rudolphi,Vulnerable,NA,NA,yes
Oriolus mellianus,Endangered,NA,NA,NA
Lalage typica,Vulnerable,yes,NA,NA
Lalage newtoni,Critically Endangered,yes,yes,yes
Edolisoma ostentum,Vulnerable,NA,NA,NA
Rhipidura malaitae,Vulnerable,NA,NA,NA
Rhipidura semirubra,Vulnerable,NA,NA,NA
