assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
11178095,54698,Incilius macrocristatus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,macrocristatus,NA,NA,NA,"(Firschein and Smith, 1957)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
11179047,54634,Peltophryne empusa,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Peltophryne,empusa,NA,NA,NA,"Cope, 1862",Vulnerable,B2ab(iii),3.1,Decreasing,Global
11179196,54635,Incilius fastidiosus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,fastidiosus,NA,NA,NA,"(Cope, 1875)",Critically Endangered,A2ace,3.1,Decreasing,Global
11179710,54639,Peltophryne fluviatica,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Peltophryne,fluviatica,NA,NA,NA,"(Schwartz, 1972)",Critically Endangered,B2ab(iii),3.1,Decreasing,Global
11180042,54641,Peltophryne fracta,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Peltophryne,fracta,NA,NA,NA,"(Schwartz, 1972)",Endangered,B1ab(iii),3.1,Decreasing,Global
11181587,54650,Incilius gemmifer,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,gemmifer,NA,NA,NA,"(Taylor, 1940)",Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
11182697,54656,Peltophryne guentheri,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Peltophryne,guentheri,NA,NA,NA,"(Cochran, 1941)",Vulnerable,B2ab(iii),3.1,Decreasing,Global
11182838,54657,Peltophryne gundlachi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Peltophryne,gundlachi,NA,NA,NA,"(Ruibal, 1959)",Vulnerable,B2ab(iii),3.1,Decreasing,Global
11183794,54667,Incilius ibarrai,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,ibarrai,NA,NA,NA,"(Stuart, 1954)",Endangered,B1ab(iii),3.1,Decreasing,Global
11184857,54675,Rhinella justinianoi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Rhinella,justinianoi,NA,NA,NA,"(Harvey and Smith, 1994)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
11185646,54762,Incilius spiculatus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,spiculatus,NA,NA,NA,"(Mendelson, 1997)",Endangered,B1ab(iii),3.1,Decreasing,Global
11188121,54776,Peltophryne taladai,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Peltophryne,taladai,NA,NA,NA,"(Schwartz, 1960)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
11190498,54785,Incilius tutelarius,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,tutelarius,NA,NA,NA,"(Mendelson, 1997)",Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
11191090,54716,Duttaphrynus noellerti,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Duttaphrynus,noellerti,NA,NA,NA,"(Manamendra-Arachchi and Pethiyagoda, 1998)",Endangered,B1ab(iii),3.1,Decreasing,Global
11196311,54730,Incilius peripatetes,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,peripatetes,NA,NA,NA,"(Savage, 1972)",Critically Endangered,A3ce,3.1,Decreasing,Global
11196439,54731,Incilius perplexus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,perplexus,NA,NA,NA,"(Taylor, 1943)",Endangered,B1ab(iii),3.1,Decreasing,Global
11197783,54742,Rhinella quechua,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Rhinella,quechua,NA,NA,NA,"(Gallardo, 1961)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
11199768,54752,Rhinella rumbolli,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Rhinella,rumbolli,NA,NA,NA,"(Carrizo, 1992)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
11200370,54757,Rhinella sclerocephala,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Rhinella,sclerocephala,NA,NA,NA,"(Mijares-Urrutia and Arends, 2001)",Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
11200539,54758,Duttaphrynus scorteccii,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Duttaphrynus,scorteccii,NA,NA,NA,"(Balletto &amp; Cherchi, 1970)",Vulnerable,D2,3.1,Stable,Global
11202264,54773,Incilius tacanensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,tacanensis,NA,NA,NA,"(Smith, 1952)",Endangered,B1ab(iii),3.1,Decreasing,Global
11202715,54857,Osornophryne guacamayo,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Osornophryne,guacamayo,NA,NA,NA,"Hoogmoed, 1987",Endangered,B1ab(iii),3.1,Decreasing,Global
11203411,54859,Osornophryne sumacoensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Osornophryne,sumacoensis,NA,NA,NA,"Gluesenkamp, 1995",Vulnerable,D2,3.1,Stable,Global
11204563,54807,Dendrophryniscus carvalhoi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Dendrophryniscus,carvalhoi,NA,NA,NA,"Izecksohn, 1994",Endangered,B1ab(iii),3.1,Decreasing,Global
11208647,54819,Melanophryniscus devincenzii,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Melanophryniscus,devincenzii,NA,NA,NA,"Klappenbach, 1968",Endangered,B2ab(iii),3.1,Decreasing,Global
11209178,54820,Melanophryniscus dorsalis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Melanophryniscus,dorsalis,NA,NA,NA,"(Mertens, 1933)",Vulnerable,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
11210082,54823,Melanophryniscus macrogranulosus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Melanophryniscus,macrogranulosus,NA,NA,NA,"Braun, 1973",Vulnerable,B1ab(iii),3.1,Decreasing,Global
11210277,54824,Melanophryniscus montevidensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Melanophryniscus,montevidensis,NA,NA,NA,"(Phillippi, 1902)",Vulnerable,"A2ac; B1ab(iii,iv,v)",3.1,Decreasing,Global
11210496,54825,Melanophryniscus orejasmirandai,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Melanophryniscus,orejasmirandai,NA,NA,NA,"Prigioni and Langone, 1986",Vulnerable,D2,3.1,Stable,Global
11213064,54834,Metaphryniscus sosai,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Metaphryniscus,sosai,NA,NA,NA,"Se̱aris, Ayarzaguena &amp; Gorzula, 1994",Vulnerable,D2,3.1,Stable,Global
11215493,54849,Oreophrynella cryptica,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Oreophrynella,cryptica,NA,NA,NA,"Se̱aris, 1995",Vulnerable,D2,3.1,Stable,Global
11215867,54850,Oreophrynella huberi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Oreophrynella,huberi,NA,NA,NA,"Diego-Aransay &amp; Gorzula, 1990",Vulnerable,D2,3.1,Stable,Global
